
Real Valladolid  VS.  Levante:
D  5  Martn Demichelis
D  15  Nacho Monreal
M  6  Ignacio Camacho
M  7  Joaqun
M  8  Jeremy Toulalan
M  18  Eliseu
M  22  Isco
F  9  Javier Saviola

Real Zaragoza  VS.  Osasuna:
G  1  Roberto Gago
D  4  lvaro
D  12  Romaric
D  19  Cristian Sapunaru
D  21  Abraham Minero
M  3  Javier Paredes
M  10  Apono
M  11  Francisco Montas
M  15  Jos Mari
F  9  Hlder Postiga
F  32  Vctor Rodrguez
--------------------------
G  13  Andrs Fernndez
D  5  Lolo
D  15  Oier Sonj
D  19  Fernando Nano
D  22  David Timor
M  9  Emiliano Armenteros
M  14  Javi Arribas
M  16  Alvaro Cejudo
M  23  Raoul Loe
F  7  Kike Sola
F  11  Sisi

Celta Vigo  VS.  Getafe:
G  13  Javi Varas
D  2  Hugo Mallo
D  3  Roberto Lago
D  8  lex Lpez
D  12  Gustavo Cabral
M  4  Borja Oubina Melendez
M  5  Andrs Tez
M  9  Mario Bermejo
M  24  Augusto Fernndez
F  10  Iago Aspas
F  23  Michael Krohn-Dehli
--------------------------
G  1  Miguel Moya
D  4  Miguel Torres Gmez
D  6  Alberto Lopo
D  20  Valera
D  21  Michel
M  2  Alexis
M  14  Pedro Len
M  19  Abdelaziz Barrada
M  25  Xavi Torres
F  7  lvaro Vsquez
F  17  Diego Castro Gimenez

Real Betis  VS.  Espanyol:
G  1  Casto
D  3  Mario
D  12  Paulo
D  22  Nlson
D  23  Perez Nacho
M  8  Rubn Prez
M  10  Beat
M  11  Pozuelo
M  17  Juan Carlos
M  18  Salvador Agra
F  24  Rubn Castro
--------------------------
G  1  Cristian Alvarez
D  3  Ral Rodrguez
D  15  Hctor Moreno
D  16  Jav Lpez
D  18  Joan Capdevila
M  4  Vctor Snchez
M  5  Sergio Tejera
M  10  Verd
M  22  Mubarak Wakaso
F  8  Christian Stuani
F  20  Simo

Barcelona  VS.  Granada:
G  1  Victor Valds
D  2  Dani Alves
D  14  Javier Mascherano
D  21  Adriano
D  25  Alex Song
M  4  Cesc Fbregas
M  11  Thiago Alcantara
M  16  Sergio Busquets
F  7  David Villa
F  9  Alexis Snchez
F  10  Lionel Messi
--------------------------
G  1  Too
D  2  Allan-Romo Nyom
D  6  Guillherme Siqueira
D  8  Inigo Lopez
D  20  Borja Gomez
M  3  Yacine Brahimi
M  14  Moreno Mikel Rico
M  19  Fabin Orellana
M  22  Gabriel Torje
M  24  Santos Iriney
F  7  Antonio Floro Flores

Real Valladolid  VS.  Real Betis:
G  1  Jaime Jimnez Merlo
D  2  Antonio Rukavina
D  6  Jess Rueda
D  22  Victor Perez
D  24  Mikel Balenziaga
M  4  Marc Valiente
M  10  scar Gonzlez
M  18  Alvaro Rubio
M  20  Patrick Ebert
F  9  Javi Guerra
F  14  Omar Ramos
--------------------------
G  1  Casto
D  8  Rubn Prez
D  12  Paulo
D  22  Nlson
D  23  Perez Nacho
M  3  Mario
M  10  Beat
M  18  Salvador Agra
M  24  Rubn Castro
F  19  Jorge Molina
F  29  Nono

Espanyol  VS.  Athletic Bilbao:
G  1  Cristian Alvarez
D  3  Ral Rodrguez
D  4  Vctor Snchez
D  16  Jav Lpez
D  18  Joan Capdevila
M  6  Juan Forlin
M  10  Verd
M  11  Rui Fonte
M  15  Hctor Moreno
F  12  Samuele Longo
F  22  Mubarak Wakaso
--------------------------
G  1  Gorka Iraizoz
D  10  Oscar de Marcos
D  15  Andoni Iraola
D  17  Inigo Prez
D  18  Carlos Gurpegui
M  5  Fernando Amorebieta
M  8  Ander Iturraspe
M  14  Markel Susaeta
M  19  Iker Munian
F  16  Ismael Lpez Blanco
F  20  Aritz Aduriz

Granada  VS.  Deportivo La Corua:
G  1  Too
D  2  Allan-Romo Nyom
D  5  Mainz
D  6  Guillherme Siqueira
D  8  Inigo Lopez
M  9  Youssef El Arabi
M  14  Moreno Mikel Rico
M  19  Fabin Orellana
M  22  Gabriel Torje
M  24  Santos Iriney
